Process_ID,ID,Timestamp,Voltage,Current,Power,Energy,Frequency,PF
station01,51,2024-11-12 12:14:26.144617,226.24,0.04,3.59,0.835,49.84,0.29
station01,52,2024-11-12 12:14:26.172141,220.71,0.02,0.15,0.416,49.95,0.83
station01,53,2024-11-12 12:14:26.208488,223.79,0.02,0.35,0.903,50.13,0.93
station01,54,2024-11-12 12:14:26.237988,222.67,0.02,3.21,0.057,49.87,0.82
station01,55,2024-11-12 12:14:26.270878,221.11,0.02,3.27,0.076,50.11,0.67
station01,56,2024-11-12 12:14:26.302184,224.74,0.04,4.07,0.869,50.08,0.62
station01,57,2024-11-12 12:14:26.334482,220.64,0.05,0.52,0.307,49.85,0.71
station01,58,2024-11-12 12:14:26.366291,220.16,0.04,4.26,0.356,49.95,0.45
station01,59,2024-11-12 12:14:26.400659,222.02,0.03,4.11,0.887,49.92,0.46
station01,60,2024-11-12 12:14:26.469831,228.48,0.02,2.58,0.824,50.17,0.86
station01,61,2024-11-12 12:14:26.504064,223.86,0.05,2.89,0.72,49.85,0.8
station01,62,2024-11-12 12:14:26.540534,226.9,0.02,4.36,0.67,49.87,0.98
station01,63,2024-11-12 12:14:26.802316,221.71,0.03,0.42,0.26,49.99,0.88
station01,64,2024-11-12 12:14:26.929169,229.84,0.01,4.64,0.141,49.83,0.39
station01,65,2024-11-12 12:14:27.059587,229.79,0.03,3.7,0.561,49.93,0.55
station01,66,2024-11-12 12:14:27.200322,223.54,0.03,1.91,0.28,49.83,0.83
station01,67,2024-11-12 12:14:27.328853,229.9,0.04,3.41,0.293,49.86,0.51
station01,68,2024-11-12 12:14:27.363626,225.63,0.03,2.68,0.812,50.07,0.54
station01,69,2024-11-12 12:14:27.482821,226.93,0.04,2.41,0.633,49.84,0.11
station01,70,2024-11-12 12:14:27.605509,225.48,0.01,2.25,0.704,49.99,0.16
station01,71,2024-11-12 12:14:27.797012,225.61,0.02,3.3,0.328,49.84,0.99
station01,72,2024-11-12 12:14:27.951880,221.0,0.05,1.74,0.723,49.91,0.4
station01,73,2024-11-12 12:14:28.107490,223.2,0.03,3.91,0.402,49.81,0.4
station01,74,2024-11-12 12:14:28.141159,222.1,0.04,0.15,0.668,49.95,0.48
station01,75,2024-11-12 12:14:28.296287,229.43,0.05,2.42,0.059,49.9,0.55
station01,76,2024-11-12 12:14:28.453508,221.46,0.03,2.39,0.649,50.17,0.1
station01,77,2024-11-12 12:14:28.608271,223.36,0.01,3.02,0.847,50.16,0.09
station01,78,2024-11-12 12:14:28.641436,220.58,0.04,0.44,0.889,49.91,0.11
station01,79,2024-11-12 12:14:28.956421,229.68,0.04,1.14,0.762,50.13,0.58
station01,80,2024-11-12 12:14:28.993587,227.81,0.04,1.21,0.444,49.98,0.05
station01,81,2024-11-12 12:14:29.024945,222.87,0.03,4.87,0.634,49.9,0.83
station01,82,2024-11-12 12:14:29.056118,225.74,0.03,0.76,0.27,50.03,0.15
station01,83,2024-11-12 12:14:29.086500,226.52,0.05,0.16,0.895,50.15,0.92
station01,84,2024-11-12 12:14:29.117310,228.2,0.02,4.48,0.883,50.11,0.21
station01,85,2024-11-12 12:14:29.150767,229.18,0.02,0.06,0.928,50.15,0.7
station01,86,2024-11-12 12:14:29.181280,226.16,0.05,4.83,0.193,49.88,0.72
station01,87,2024-11-12 12:14:29.211996,225.61,0.05,0.48,0.345,50.09,0.79
station01,88,2024-11-12 12:14:29.255879,222.51,0.04,3.01,0.448,50.08,0.82
station01,89,2024-11-12 12:14:29.285508,221.52,0.04,3.64,0.18,49.86,0.81
station01,90,2024-11-12 12:14:29.315985,224.03,0.01,1.62,0.558,50.12,0.6
station01,91,2024-11-12 12:14:29.349256,224.27,0.02,1.14,0.572,49.94,0.97
station01,92,2024-11-12 12:14:29.380040,220.58,0.03,2.24,0.072,49.98,0.04
station01,93,2024-11-12 12:14:29.409274,229.04,0.05,1.05,0.668,50.07,0.36
station01,94,2024-11-12 12:14:29.442355,223.08,0.03,1.7,0.545,50.09,0.52
station01,95,2024-11-12 12:14:29.469830,227.52,0.03,3.06,0.354,49.87,0.21
station01,96,2024-11-12 12:14:29.500044,229.66,0.04,4.66,0.465,49.98,0.18
station01,97,2024-11-12 12:14:29.533491,229.97,0.02,3.54,0.317,49.97,0.06
station01,98,2024-11-12 12:14:29.568776,227.34,0.03,1.73,0.969,49.91,0.26
station01,99,2024-11-12 12:14:29.607815,222.31,0.02,4.13,0.161,49.84,0.6
station01,100,2024-11-12 12:14:29.646604,225.12,0.05,2.49,0.066,50.06,0.1
station01,101,2024-11-12 12:14:29.672870,225.48,0.02,4.53,0.208,49.81,0.83
station01,102,2024-11-12 12:14:29.701218,222.78,0.04,2.41,0.753,50.17,0.19
station01,103,2024-11-12 12:14:29.728806,221.25,0.04,4.47,0.626,49.99,0.83
station01,104,2024-11-12 12:14:29.756740,225.56,0.05,0.3,0.083,49.84,0.46
station01,105,2024-11-12 12:14:29.791788,227.78,0.02,0.17,0.215,49.96,0.07
station01,106,2024-11-12 12:14:29.819879,221.5,0.04,0.97,0.503,50.19,0.14
station01,107,2024-11-12 12:14:29.848218,224.15,0.02,3.53,0.386,49.91,0.57
station01,108,2024-11-12 12:14:29.887216,226.81,0.01,3.96,0.364,50.05,0.28
station01,109,2024-11-12 12:14:29.916031,223.22,0.04,1.43,0.621,49.98,1.0
station01,110,2024-11-12 12:14:29.950775,228.7,0.04,3.39,0.226,49.95,0.02
station01,111,2024-11-12 12:14:29.984408,223.28,0.05,0.92,0.138,49.99,0.45
station01,112,2024-11-12 12:14:30.014392,220.5,0.04,2.42,0.587,50.13,0.6
station01,113,2024-11-12 12:14:30.044521,227.59,0.02,2.16,0.378,50.17,0.14
station01,114,2024-11-12 12:14:30.074556,228.14,0.01,0.81,0.603,50.07,0.42
station01,115,2024-11-12 12:14:30.104435,225.9,0.03,1.12,0.886,50.0,0.91
station01,116,2024-11-12 12:14:30.134764,222.44,0.03,0.16,0.138,49.96,0.23
station01,117,2024-11-12 12:14:30.167750,228.94,0.04,3.93,0.113,50.1,0.32
station01,118,2024-11-12 12:14:30.200710,221.97,0.04,4.17,0.679,49.96,0.2
station01,119,2024-11-12 12:14:30.230735,225.29,0.03,2.03,0.42,49.92,0.61
station01,120,2024-11-12 12:14:30.261366,227.88,0.05,1.58,0.158,49.92,0.54
station01,121,2024-11-12 12:14:30.291390,228.12,0.04,2.1,0.929,49.84,0.39
station01,122,2024-11-12 12:14:30.323926,224.77,0.03,3.17,0.383,49.86,0.75
station01,123,2024-11-12 12:14:30.353842,226.53,0.02,0.49,0.281,50.07,0.01
station01,124,2024-11-12 12:14:30.382812,227.41,0.05,1.77,0.823,49.94,0.52
station01,125,2024-11-12 12:14:30.413086,222.92,0.03,0.96,0.479,50.01,0.07
station01,126,2024-11-12 12:14:30.442768,222.72,0.04,4.76,0.688,50.12,0.49
station01,127,2024-11-12 12:14:30.471911,221.35,0.02,1.44,0.416,49.98,0.62
station01,128,2024-11-12 12:14:30.500313,222.59,0.04,2.97,0.86,50.12,0.1
station01,129,2024-11-12 12:14:30.530335,225.68,0.03,0.22,0.635,50.05,0.55
station01,130,2024-11-12 12:14:30.561735,220.49,0.04,4.89,0.606,49.99,0.71
station01,131,2024-11-12 12:14:30.592632,223.42,0.02,2.91,0.86,49.99,0.22
station01,132,2024-11-12 12:14:30.621329,229.72,0.03,2.27,0.252,50.03,0.62
station01,133,2024-11-12 12:14:30.651804,220.01,0.01,1.56,0.071,50.08,0.38
station01,134,2024-11-12 12:14:30.686821,223.32,0.05,4.2,0.343,50.17,0.65
station01,135,2024-11-12 12:14:30.718236,221.29,0.03,3.24,0.229,50.16,0.15
station01,136,2024-11-12 12:14:30.747994,226.04,0.01,0.82,0.504,49.83,0.94
station01,137,2024-11-12 12:14:30.778212,222.23,0.05,1.19,0.504,49.9,0.12
station01,138,2024-11-12 12:14:30.807454,228.58,0.01,4.09,0.49,50.17,0.01
station01,139,2024-11-12 12:14:30.836098,222.02,0.02,4.19,0.521,50.17,0.8
station01,140,2024-11-12 12:14:30.864688,220.08,0.02,1.26,0.618,50.07,0.7
station01,141,2024-11-12 12:14:30.892132,222.69,0.04,0.68,0.43,50.07,0.11
station01,142,2024-11-12 12:14:30.920576,225.86,0.03,4.87,0.683,50.14,0.77
station01,143,2024-11-12 12:14:30.950362,222.79,0.01,0.42,0.071,49.81,0.87
station01,144,2024-11-12 12:14:30.989074,222.89,0.02,2.33,0.135,49.87,0.54
station01,145,2024-11-12 12:14:31.017396,225.85,0.03,2.22,0.952,49.87,0.56
station01,146,2024-11-12 12:14:31.050675,225.09,0.03,4.9,0.038,49.99,0.66
station01,147,2024-11-12 12:14:31.083681,226.18,0.02,1.37,0.629,50.17,0.34
station01,148,2024-11-12 12:14:31.113460,221.94,0.03,1.46,0.44,50.13,0.92
station01,149,2024-11-12 12:14:31.144598,221.47,0.03,3.08,0.528,50.2,0.81
station01,150,2024-11-12 12:14:31.174887,223.55,0.03,2.99,0.97,49.8,0.06
station01,151,2024-11-12 12:14:31.204904,228.63,0.04,4.93,0.639,50.08,0.18
station01,152,2024-11-12 12:14:31.235246,229.48,0.01,1.95,0.685,49.83,0.93
station01,153,2024-11-12 12:14:31.265053,229.47,0.03,2.02,0.774,50.01,0.61
station01,154,2024-11-12 12:14:31.294824,228.35,0.02,3.48,0.413,49.93,0.22
station01,155,2024-11-12 12:14:31.327472,228.46,0.01,4.68,0.552,49.86,1.0
station01,156,2024-11-12 12:14:31.357075,228.84,0.03,4.17,0.372,49.84,0.7
station01,157,2024-11-12 12:14:31.388861,227.94,0.04,0.34,0.147,50.1,0.36
station01,158,2024-11-12 12:14:31.420765,223.01,0.02,4.55,0.288,50.09,0.52
station01,159,2024-11-12 12:14:31.486668,220.79,0.02,4.87,0.325,50.08,0.92
station01,160,2024-11-12 12:14:31.519307,226.31,0.05,3.74,0.919,50.03,0.86
station01,161,2024-11-12 12:14:31.548149,226.74,0.04,0.61,0.893,49.83,0.94
station01,162,2024-11-12 12:14:31.580580,224.49,0.03,0.58,0.715,50.18,0.14
station01,163,2024-11-12 12:14:31.611475,227.05,0.04,0.23,0.42,50.07,0.04
station01,164,2024-11-12 12:14:31.642400,228.76,0.05,2.66,0.28,50.1,0.18
station01,165,2024-11-12 12:14:31.713055,227.79,0.01,1.19,0.639,50.19,0.91
station01,166,2024-11-12 12:14:31.746903,227.84,0.02,4.37,0.25,50.08,0.43
station01,167,2024-11-12 12:14:31.780615,221.32,0.01,2.31,0.448,49.9,0.37
station01,168,2024-11-12 12:14:31.811180,228.95,0.04,4.6,0.056,50.07,0.57
station01,169,2024-11-12 12:14:31.844920,221.42,0.03,1.04,0.783,49.91,0.95
station01,170,2024-11-12 12:14:31.905102,224.22,0.03,4.18,0.916,49.88,0.56
station01,171,2024-11-12 12:14:31.938607,221.5,0.02,0.11,0.725,49.81,0.68
station01,172,2024-11-12 12:14:31.974241,226.07,0.03,3.19,0.644,50.06,0.85
station01,173,2024-11-12 12:14:32.007356,223.28,0.04,1.29,0.034,49.92,0.43
station01,174,2024-11-12 12:14:32.039566,222.17,0.02,2.18,0.198,50.14,0.43
station01,175,2024-11-12 12:14:32.071513,229.04,0.01,3.49,0.827,50.02,0.92
station01,176,2024-11-12 12:14:32.136002,221.89,0.01,4.69,0.005,50.16,0.47
station01,177,2024-11-12 12:14:32.166840,223.95,0.02,4.89,0.843,50.19,0.37
station01,178,2024-11-12 12:14:32.196375,228.01,0.03,0.86,0.9,49.99,1.0
station01,179,2024-11-12 12:14:32.226254,226.27,0.02,0.76,0.63,50.17,0.26
station01,180,2024-11-12 12:14:32.257113,226.14,0.03,2.35,0.537,49.9,0.76
station01,181,2024-11-12 12:14:32.290036,227.84,0.01,4.68,0.442,49.94,0.68
station01,182,2024-11-12 12:14:32.357980,228.26,0.01,1.34,0.5,50.16,0.67
station01,183,2024-11-12 12:14:32.391680,221.63,0.02,2.32,0.495,49.95,0.8
station01,184,2024-11-12 12:14:32.421498,221.87,0.04,4.66,0.665,49.99,0.21
station01,185,2024-11-12 12:14:32.451187,227.55,0.03,3.93,0.831,50.0,0.22
station01,186,2024-11-12 12:14:32.484582,220.4,0.03,1.56,0.214,50.12,0.2
station01,187,2024-11-12 12:14:32.516139,221.79,0.02,0.58,0.641,50.06,0.23
station01,188,2024-11-12 12:14:32.562856,226.32,0.04,2.69,0.188,50.11,0.79
station01,189,2024-11-12 12:14:32.599054,226.26,0.02,1.74,0.467,50.17,0.51
station01,190,2024-11-12 12:14:32.628583,229.03,0.02,3.83,0.432,49.87,0.2
station01,191,2024-11-12 12:14:32.660813,228.28,0.02,4.62,0.55,49.84,0.34
station01,192,2024-11-12 12:14:32.689654,226.67,0.04,0.59,0.117,50.02,0.3
station01,193,2024-11-12 12:14:32.720010,225.12,0.04,3.6,0.144,50.09,0.22
station01,194,2024-11-12 12:14:32.750498,229.99,0.04,0.13,0.812,49.84,0.2
station01,195,2024-11-12 12:14:32.781428,221.47,0.04,0.36,0.002,49.84,0.44
station01,196,2024-11-12 12:14:32.810627,222.86,0.03,0.92,0.409,49.81,0.15
station01,197,2024-11-12 12:14:32.841404,226.88,0.02,4.67,0.067,49.9,0.77
station01,198,2024-11-12 12:14:32.872004,225.61,0.04,1.25,0.983,50.01,0.96
station01,199,2024-11-12 12:14:32.902303,224.09,0.04,3.13,0.381,50.17,0.17
station01,200,2024-11-12 12:14:32.934576,225.73,0.02,2.64,0.9,49.99,0.36
station01,201,2024-11-12 12:14:32.967522,226.96,0.04,1.51,0.596,49.98,0.02
station01,202,2024-11-12 12:14:33.003526,226.84,0.02,5.0,0.193,49.81,0.17
station01,203,2024-11-12 12:14:33.050284,221.08,0.02,1.9,0.266,50.19,0.18
station01,204,2024-11-12 12:14:33.082564,228.25,0.03,2.44,0.517,50.02,0.25
station01,205,2024-11-12 12:14:33.116600,223.17,0.02,3.04,0.921,49.85,0.42
station01,206,2024-11-12 12:14:33.149172,226.39,0.04,3.2,0.111,49.83,0.03
station01,207,2024-11-12 12:14:33.179498,220.02,0.03,1.43,0.876,50.01,0.35
station01,208,2024-11-12 12:14:33.211908,222.94,0.02,0.47,0.764,49.94,0.63
station01,209,2024-11-12 12:14:33.242627,222.05,0.04,3.68,0.309,49.91,0.97
station01,210,2024-11-12 12:14:33.274426,225.72,0.05,2.85,0.498,50.05,0.91
station01,211,2024-11-12 12:14:33.305665,224.01,0.03,2.4,0.995,50.08,0.68
station01,212,2024-11-12 12:14:33.338587,221.26,0.05,3.53,0.014,49.82,0.33
station01,213,2024-11-12 12:14:33.370047,228.29,0.03,1.92,0.822,49.85,0.12
station01,214,2024-11-12 12:14:33.400931,220.7,0.05,1.48,0.964,49.98,0.03
station01,215,2024-11-12 12:14:33.432383,228.51,0.03,4.8,0.551,50.2,0.06
station01,216,2024-11-12 12:14:33.463930,221.72,0.03,3.93,0.13,50.08,0.71
station01,217,2024-11-12 12:14:33.496078,222.66,0.02,4.52,0.361,50.2,0.56
station01,218,2024-11-12 12:14:33.526569,222.81,0.03,2.08,0.524,50.05,0.93
station01,219,2024-11-12 12:14:33.558587,229.53,0.02,3.15,0.184,49.92,0.15
station01,220,2024-11-12 12:14:33.589994,221.96,0.03,3.45,0.895,49.87,0.24
station01,221,2024-11-12 12:14:33.620711,226.45,0.04,1.22,0.404,50.07,0.32
station01,222,2024-11-12 12:14:33.650457,229.4,0.03,2.74,0.659,50.1,0.23
station01,223,2024-11-12 12:14:33.681464,222.27,0.02,2.99,0.022,50.12,0.13
station01,224,2024-11-12 12:14:33.713989,223.85,0.03,4.8,0.634,50.08,0.57
station01,225,2024-11-12 12:14:33.742825,221.97,0.01,0.94,0.846,49.87,0.98
station01,226,2024-11-12 12:14:33.774051,222.22,0.04,2.53,0.453,50.1,0.03
station01,227,2024-11-12 12:14:33.804159,225.59,0.03,3.7,0.604,50.11,0.73
station01,228,2024-11-12 12:14:33.836697,229.2,0.02,4.19,0.28,49.98,0.48
station01,229,2024-11-12 12:14:33.868980,221.89,0.02,2.56,0.75,49.89,0.52
station01,230,2024-11-12 12:14:33.900611,228.22,0.02,0.18,0.762,49.96,0.35
station01,231,2024-11-12 12:14:33.931725,228.4,0.03,1.89,0.733,49.96,0.5
station01,232,2024-11-12 12:14:33.962358,221.44,0.02,1.46,0.36,49.81,0.73
station01,233,2024-11-12 12:14:33.996176,221.33,0.03,2.55,0.023,50.06,0.35
station01,234,2024-11-12 12:14:34.029258,224.76,0.01,3.4,0.973,49.98,0.01
station01,235,2024-11-12 12:14:34.059261,224.94,0.04,3.09,0.332,50.03,0.74
station01,236,2024-11-12 12:14:34.093056,225.65,0.04,2.12,0.676,50.0,0.08
station01,237,2024-11-12 12:14:34.133626,227.69,0.01,1.43,0.626,49.84,0.41
station01,238,2024-11-12 12:14:34.176363,228.66,0.04,0.43,0.779,50.09,0.01
station01,239,2024-11-12 12:14:34.205155,226.14,0.03,0.12,0.39,50.09,0.47
station01,240,2024-11-12 12:14:34.233748,229.68,0.03,3.46,0.43,50.03,0.78
station01,241,2024-11-12 12:14:34.262707,222.19,0.03,0.17,0.077,49.86,0.97
station01,242,2024-11-12 12:14:34.292681,228.4,0.05,3.64,0.228,50.16,0.14
station01,243,2024-11-12 12:14:34.322222,227.33,0.05,2.7,0.385,49.91,0.09
station01,244,2024-11-12 12:14:34.352758,224.7,0.03,3.72,0.322,49.81,0.77
station01,245,2024-11-12 12:14:34.385418,222.76,0.03,2.22,0.222,49.92,0.75
station01,246,2024-11-12 12:14:34.416606,227.47,0.02,3.14,0.136,50.08,0.49
station01,247,2024-11-12 12:14:34.447776,225.9,0.04,1.71,0.18,50.05,0.5
station01,248,2024-11-12 12:14:34.482409,222.73,0.04,1.17,0.937,49.85,0.16
station01,249,2024-11-12 12:14:34.515830,229.25,0.02,2.35,0.111,49.93,0.16
station01,250,2024-11-12 12:14:34.548604,224.62,0.02,1.85,0.208,50.11,0.29
station01,251,2024-11-12 12:14:34.589982,224.71,0.01,1.26,0.31,50.13,0.42
station01,252,2024-11-12 12:14:34.619526,220.71,0.03,4.01,0.076,49.81,0.51
station01,253,2024-11-12 12:14:34.651237,227.37,0.01,3.91,0.843,50.09,0.77
station01,254,2024-11-12 12:14:34.682727,220.32,0.03,4.75,0.27,50.07,0.73
station01,255,2024-11-12 12:14:34.722888,223.84,0.03,2.55,0.632,49.86,0.51
station01,256,2024-11-12 12:14:34.766541,227.7,0.02,1.24,0.723,50.1,0.66
station01,257,2024-11-12 12:14:34.796163,225.58,0.02,4.38,0.141,49.97,0.71
station01,258,2024-11-12 12:14:34.827402,220.11,0.04,2.88,0.867,50.15,0.33
station01,259,2024-11-12 12:14:34.860768,226.75,0.03,2.62,0.037,49.86,0.93
station01,260,2024-11-12 12:14:34.900080,226.23,0.02,2.18,0.655,50.12,0.21
station01,261,2024-11-12 12:14:34.934150,226.66,0.03,0.02,0.098,50.04,0.63
station01,262,2024-11-12 12:14:34.963284,222.07,0.02,4.78,0.685,50.0,0.04
station01,263,2024-11-12 12:14:34.993574,220.44,0.01,2.11,0.581,49.98,0.79
station01,264,2024-11-12 12:14:35.024858,223.05,0.02,3.29,0.979,50.11,0.04
station01,265,2024-11-12 12:14:35.056780,227.38,0.02,4.04,0.622,50.06,0.38
station01,266,2024-11-12 12:14:35.088548,225.74,0.02,3.82,0.456,50.08,0.21
station01,267,2024-11-12 12:14:35.117795,223.36,0.03,1.96,0.613,50.09,0.77
station01,268,2024-11-12 12:14:35.150081,220.71,0.04,3.39,0.492,50.09,0.89
station01,269,2024-11-12 12:14:35.184429,225.88,0.04,0.91,0.481,50.05,0.1
station01,270,2024-11-12 12:14:35.213845,221.43,0.02,3.49,0.837,50.09,0.05
station01,271,2024-11-12 12:14:35.246309,227.92,0.02,0.77,0.852,49.93,0.46
station01,272,2024-11-12 12:14:35.278880,224.83,0.03,4.56,0.085,50.1,0.09
station01,273,2024-11-12 12:14:35.309352,226.64,0.02,0.5,0.558,50.13,0.69
station01,274,2024-11-12 12:14:35.341136,221.24,0.04,4.49,0.382,50.0,0.18
station01,275,2024-11-12 12:14:35.372301,222.92,0.05,0.5,0.132,49.97,0.58
station01,276,2024-11-12 12:14:35.404744,228.95,0.03,3.34,0.014,50.13,0.39
station01,277,2024-11-12 12:14:35.435562,221.27,0.02,3.83,0.258,50.11,0.52
station01,278,2024-11-12 12:14:35.469292,227.34,0.04,2.72,0.775,49.94,0.17
station01,279,2024-11-12 12:14:35.500627,220.64,0.04,2.13,0.501,50.11,0.26
station01,280,2024-11-12 12:14:35.529125,222.43,0.02,0.86,0.237,49.88,0.71
station01,281,2024-11-12 12:14:35.561740,221.76,0.02,4.69,0.155,49.92,0.45
station01,282,2024-11-12 12:14:35.592969,229.89,0.05,2.74,0.203,50.0,0.74
station01,283,2024-11-12 12:14:35.625445,229.32,0.03,2.85,0.03,49.9,0.37
station01,284,2024-11-12 12:14:35.655459,226.85,0.01,3.91,0.519,49.94,0.34
station01,285,2024-11-12 12:14:35.685226,220.94,0.03,2.52,0.428,49.83,0.91
station01,286,2024-11-12 12:14:35.715016,221.7,0.04,2.25,0.919,49.87,0.6
station01,287,2024-11-12 12:14:35.747045,221.96,0.01,3.47,0.561,49.82,0.68
station01,288,2024-11-12 12:14:35.777603,229.58,0.02,3.44,0.215,49.95,0.68
station01,289,2024-11-12 12:14:35.809426,224.57,0.03,1.33,0.936,49.9,0.17
station01,290,2024-11-12 12:14:35.839113,228.28,0.02,3.82,0.857,49.87,0.42
station01,291,2024-11-12 12:14:35.868724,222.64,0.01,4.94,0.315,49.91,0.28
station01,292,2024-11-12 12:14:35.898541,228.73,0.05,3.84,0.679,49.95,0.16
station01,293,2024-11-12 12:14:35.928590,223.81,0.03,3.91,0.821,49.83,0.14
station01,294,2024-11-12 12:14:35.958187,221.81,0.04,2.71,0.47,49.91,0.52
station01,295,2024-11-12 12:14:35.992002,227.01,0.01,2.56,0.305,49.83,0.2
station01,296,2024-11-12 12:14:36.033256,228.63,0.04,2.95,0.805,49.81,0.79
station01,297,2024-11-12 12:14:36.064424,225.88,0.05,4.47,0.227,50.02,0.63
station01,298,2024-11-12 12:14:36.098038,227.07,0.03,4.34,0.277,49.82,0.5
station01,299,2024-11-12 12:14:36.127210,223.55,0.03,1.5,0.461,50.08,0.82
station01,300,2024-11-12 12:14:36.158003,228.53,0.05,3.43,0.241,49.89,0.99
station01,301,2024-11-12 12:14:36.190375,220.07,0.02,0.27,0.314,49.9,0.73
station01,302,2024-11-12 12:14:36.220753,229.99,0.05,0.15,0.741,49.83,0.18
station01,303,2024-11-12 12:14:36.251868,226.44,0.03,1.17,0.226,50.1,0.72
station01,304,2024-11-12 12:14:36.285678,228.11,0.03,0.4,0.155,49.88,0.25
station01,305,2024-11-12 12:14:36.317556,223.63,0.04,1.08,0.452,49.82,0.33
station01,306,2024-11-12 12:14:36.353407,223.15,0.02,2.4,0.607,49.89,0.97
station01,307,2024-11-12 12:14:36.388215,220.91,0.02,1.21,0.495,50.14,0.1
station01,308,2024-11-12 12:14:36.418747,228.28,0.04,0.87,0.271,49.95,0.53
station01,309,2024-11-12 12:14:36.512295,226.97,0.02,2.99,0.554,49.92,0.6
